TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-182,116th Ave O,2027,Revenue,Property tax,622500,10/31/2018,12/31/2042
T-124,67th/Cicero,2021,Revenue,Property tax,457800,10/02/2002,12/31/2026
T-133,83rd/Stewart,2027,Revenue,Property tax,1401400,03/31/2004,12/31/2028
T-151,Armitage/Pulaski,2021,Revenue,Property tax,183100,06/13/2007,12/31/2031
T-182,116th Ave O,2025,Revenue,Property tax,622500,10/31/2018,12/31/2042
T-160,Kennedy/Kimball,2027,Revenue,Property tax,1801500,03/12/2008,12/31/2032
T-182,116th Ave O,2026,Current Obligations,Program Administration,-3700,10/31/2018,12/31/2042
T-111,105th/Vincennes,2021,Current Obligations,CDOT - ADA Polling Place - Fernwood/Evers Schools,-159100,10/03/2001,12/31/2025
T-111,105th/Vincennes,2021,Current Obligations,Lighting - arterial - West Pullman,76600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2021,Current Obligations,Program Administration,-13600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2021,Revenue,Property tax,1149900,10/03/2001,12/31/2025
T-111,105th/Vincennes,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-86200,10/03/2001,12/31/2025
T-111,105th/Vincennes,2021,Current Obligations,RDA - Renaissance Beverly Ridge,332500,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Proposed Projects,ADA Polling Place,-75000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Current Obligations,"IGA - CPD - Park 0065 - Fernwood Park - Pool Building – Major Renovation: Roof, Tuck, Masonry, Boiler",-650000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Current Obligations,Program Administration,-14000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Revenue,Property tax,1240600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-62000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Current Obligations,Residential St Resurfacing - Ward 34,36000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2022,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-1480000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Current Obligations,Program Administration,-14400,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Revenue,Property tax,1240600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2023,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-2960000,10/03/2001,12/31/2025
T-111,105th/Vincennes,2024,Current Obligations,Program Administration,-14900,10/03/2001,12/31/2025
T-111,105th/Vincennes,2024,Revenue,Property tax,1240600,10/03/2001,12/31/2025
T-111,105th/Vincennes,2025,Current Obligations,Program Administration,-15300,10/03/2001,12/31/2025
T-111,105th/Vincennes,2025,Revenue,Property tax,1335500,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,3494500,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Current Obligations,Lighting - arterial - West Pullman,-76600,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Current Obligations,RDA - Renaissance Beverly Ridge,-332500,10/03/2001,12/31/2025
T-111,105th/Vincennes,Fund / Project Balances,Current Obligations,Residential St Resurfacing - Ward 34,-36000,10/03/2001,12/31/2025
T-176,107th/Halsted,2021,Current Obligations,CDOT - ADA Polling Place - Alex Haley Academy/Dunne Technology Academy,-92000,03/05/2014,12/31/2038
T-176,107th/Halsted,2021,Current Obligations,Lighting - arterial - West Pullman,60000,03/05/2014,12/31/2038
T-176,107th/Halsted,2021,Current Obligations,Program Administration,-6600,03/05/2014,12/31/2038
T-176,107th/Halsted,2021,Revenue,Property tax,586100,03/05/2014,12/31/2038
T-182,116th Ave O,2026,Revenue,Property tax,622500,10/31/2018,12/31/2042
T-176,107th/Halsted,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-44000,03/05/2014,12/31/2038
T-176,107th/Halsted,2021,Current Obligations,Retail Thrive Zone,24600,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Proposed Projects,ADA Polling Place,-50600,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),780000,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Current Obligations,ISW - Admin,-14300,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Current Obligations,Program Administration,-6800,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Revenue,Property tax,659700,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-33000,03/05/2014,12/31/2038
T-176,107th/Halsted,2022,Proposed Projects,Proposed ISW Project(s),-1494400,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),1560000,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Current Obligations,Program Administration,-7000,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Revenue,Property tax,659700,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Proposed Projects,Proposed ISW Project(s),-2988800,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Current Obligations,Program Administration,-7200,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Revenue,Property tax,659700,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Current Obligations,Program Administration,-7400,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Revenue,Property tax,735500,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Current Obligations,Program Administration,-7700,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Revenue,Property tax,735500,03/05/2014,12/31/2038
T-176,107th/Halsted,2027,Current Obligations,Program Administration,-7900,03/05/2014,12/31/2038
T-176,107th/Halsted,2027,Revenue,Property tax,735500,03/05/2014,12/31/2038
T-176,107th/Halsted,2028,Current Obligations,Program Administration,-8100,03/05/2014,12/31/2038
T-176,107th/Halsted,2028,Revenue,Property tax,813700,03/05/2014,12/31/2038
T-176,107th/Halsted,2029,Current Obligations,Program Administration,-8400,03/05/2014,12/31/2038
T-176,107th/Halsted,2029,Revenue,Property tax,813700,03/05/2014,12/31/2038
T-176,107th/Halsted,2030,Current Obligations,Program Administration,-8600,03/05/2014,12/31/2038
T-176,107th/Halsted,2030,Revenue,Property tax,813700,03/05/2014,12/31/2038
