TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-095,Midwest,2027,Revenue,Property tax,17129300,05/17/2000,12/31/2036
T-001,35th/Halsted,2020,Current Obligations,"AIS - CPL - Library - Daley Library - 3400 S Halsted - envelope repairs, mechanicals, new layout",-3500000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Current Obligations,CDOT - Lighting - decorative pole replacement,-100000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Current Obligations,"CDOT - Traffic Calming - Racine, 35th to Pershing",-300000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Current Obligations,Professional services,-1000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Current Obligations,Program administration,-130600,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Revenue,Property tax,11025500,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-661500,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Transfers Between TIF Districts,To 35th/Wallace (Police facility rehab),-4500000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Transfers Between TIF Districts,To Archer/Western (Library - repairs),-800000,01/14/1997,12/31/2021
T-001,35th/Halsted,2020,Transfers Between TIF Districts,To Archer/Western (McGuane Park),-5770000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,"Arterial resurfacing - 35th, Ashland to Racine",84900,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Bridge - 35th/S Fork Chicago River - repairs,504200,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Bridge - Structural Rehab - 1200 W 35th St - additional funding,53300,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Building rehab - Pershing Tower,-508400,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,DSS - Ward Yard - Improvements,25000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Environmental remediation,6200,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,IGA - CPD - Donovan Park,-850000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,IGA - CPD - Park 0594 - New Park - 3159 S Halsted St,-350000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,IGA - CPS - Armour ES - chimney/stack reduction,-750000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Industrial street improvements - 37th & Racine,5400,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Program administration,-136500,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,RDA - Acre Development,-489100,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,RDA - Ramova Theater,-6640000,01/14/1997,12/31/2021
